ως as
σταυρός cross
αγρόκτημα farm
σκληρά hard
αρχή start
θα μπορούσε might
ιστορία story
πριόνι saw
σήμερα far
θάλασσα sea
κλήρωση draw
αριστερά left
αργά late
τρέχει run
ενώ while
τύπου press
κοντά close
νύχτα night
πραγματική real
ζωή life
λίγα few
βόρεια north
βιβλίο book
φέρουν carry
πήρε took
επιστήμη science
φάτε eat
δωμάτιο room
φίλος friend
άρχισε began
ιδέα idea
ψάρι fish
βουνό mountain
στάση stop
μια φορά once
βάση base
ακούστε hear
άλογο horse
κόψιμο cut
βέβαιος sure
παρακολουθήσετε watch
χρώμα color
πρόσωπο face
ξύλο wood
κύρια main
ανοιχτή open
φαίνεται seem
μαζί together
επόμενος next
λευκό white
παιδιά children
αρχίσει begin
πήρε got
με τα πόδια walk
παράδειγμα example
ευκολία ease
χαρτί paper
ομάδα group
πάντοτε always
μουσική music
εκείνοι those
δύο both
σήμα mark
συχνά often
γράμμα letter
μέχρι until
μίλι mile
ποτάμι river
αυτοκίνητο car
πόδια feet
φροντίδα care
δεύτερη second
αρκετά enough
απλό plain
κορίτσι girl
συνήθεις usual
νέους young
έτοιμο ready
παραπάνω above
πάντα ever
κόκκινο red
λίστα list
αν though
αισθάνονται feel
Συζήτηση talk
πουλί bird
σύντομα soon
σώμα body
σκύλος dog
οικογένεια family
απευθείας direct
ενέχουν pose
αφήστε leave
τραγούδι song
μέτρο measure
πόρτα door
προϊόν product
μαύρο black
σύντομο short
αριθμητικό numeral
κατηγορία class
άνεμος wind
ερώτηση question
συμβεί happen
πλήρης complete
πλοίο ship
έκταση area
ήμισυ half
βράχος rock
για order
φωτιά fire
νότια south
πρόβλημα problem
κομμάτι piece
είπε told
ήξερε knew
περάσει pass
από since
κορυφή top
ολόκληρο whole
βασιλιά king
δρόμος street
ιντσών inch
πολλαπλασιάστε multiply
τίποτα nothing
πορεία course
μείνετε stay
τροχός wheel
πλήρους full
δύναμη force
μπλε blue
αντικείμενο object
αποφασίζει decide
επιφάνεια surface
βαθιά deep
φεγγάρι moon
νησί island
πόδι foot
σύστημα system
απασχολημένος busy
δοκιμή test
ρεκόρ record
βάρκα boat
κοινός common
χρυσό gold
δυνατός possible
αεροπλάνο plane
αντ ‘ stead
ξηρό dry
αναρωτιέμαι wonder
γέλιο laugh
χιλιάδες thousand
πριν ago
έτρεξε ran
έλεγχος check
παιχνίδι game
σχήμα shape
εξισώνουν equate
ζεστό hot
δεσποινίς miss
έφερε brought
θερμότητα heat
χιόνι snow
ελαστικών tire
φέρω bring
ναί yes
μακρινές distant
συμπληρώστε fill
ανατολικά east
ζωγραφίσει paint
γλώσσα language
μεταξύ among
μονάδα unit
δύναμη power
πόλη town
πρόστιμο fine
ορισμένες certain
πετάξει fly
πτώση fall
οδηγήσει lead
κραυγή cry
σκούρο dark
μηχανή machine
σημείωση note
περιμένετε wait
σχέδιο plan
εικόνα figure
αστέρι star
κουτί box
όνομα noun
τομέα field
ανάπαυση rest
σωστός correct
θέση able
λίρα pound
done done
ομορφιά beauty
drive drive
στάθηκε stood
περιέχουν contain
μπροστά front
διδάξουν teach
εβδομάδα week
τελικό final
έδωσε gave
πράσινος green
αμάν oh
γρήγορα quick
ανάπτυξη develop
ωκεανός ocean
ζεστό warm
δωρεάν free
λεπτό minute
ισχυρή strong
ειδικός special
νου mind
πίσω behind
σαφής clear
ουρά tail
παράγουν produce
γεγονός fact
χώρο space
ακούσει heard
καλύτερο best
ώρα hour
καλύτερη better
αληθής true
κατά τη διάρκεια της during
εκατό hundred
πέντε five
θυμηθείτε remember
βήμα step
νωρίς early
κρατήστε hold
δυτικά west
έδαφος ground
ενδιαφέρον interest
φτάσουν reach
γρήγορα fast
ρήμα verb
τραγουδώ sing
ακούστε listen
έξι six
τραπέζι table
ταξίδι travel
λιγότερο less
πρωί morning
δέκα ten
απλό simple
αρκετές several
φωνήεν vowel
προς toward
πόλεμο war
θέσει lay
κατά against
μοτίβο pattern
αργή slow
κέντρο center
αγάπη love
πρόσωπο person
χρήματα money
εξυπηρετούν serve
εμφανίζονται appear
δρόμος road
χάρτης map
βροχή rain
κανόνας rule
διέπουν govern
τραβήξτε pull
κρύο cold
ειδοποίηση notice
φωνή voice
ενέργεια energy
κυνήγι hunt
πιθανή probable
κρεβάτι bed
Ο αδελφός brother
αυγό egg
βόλτα ride
κυττάρων cell
πιστεύουμε believe
ίσως perhaps
επιλέξτε pick
ξαφνική sudden
μετράνε count
πλατεία square
λόγος reason
μήκος length
εκπροσωπώ represent
τέχνη art
θέμα subject
περιοχή region
μέγεθος size
ποικίλλουν vary
εγκατασταθούν settle
μιλούν speak
βάρος weight
γενικές general
πάγος ice
θέμα matter
κύκλο circle
ζεύγος pair
περιλαμβάνουν include
χάσματος divide
συλλαβή syllable
αισθάνθηκε felt
grand grand
μπάλα ball
ακόμη yet
κύμα wave
πτώση drop
καρδιά heart
είμαι am
παρόν present
βαριά heavy
χορού dance
κινητήρας engine
θέση position
μπράτσο arm
ευρύ wide
ιστίο sail
υλικό material
κλάσμα fraction
δάσος forest
καθίσει sit
φυλή race
παράθυρο window
κατάστημα store
καλοκαίρι summer
τρένο train
ύπνου sleep
αποδειχθούν prove
μοναχικός lone
πόδι leg
άσκηση exercise
τοίχο wall
σύλληψη catch
mount mount
επιθυμούν wish
ουρανό sky
χαρτόνι board
χαρά joy
χειμώνας winter
Σαβ sat
γραπτή written
άγρια wild
οργάνου instrument
φυλάσσονται kept
ποτήρι glass
γρασίδι grass
αγελάδα cow
δουλειά job
άκρο edge
πινακίδα sign
επίσκεψη visit
παρελθόν past
μαλακός soft
διασκέδαση fun
φωτεινό bright
αερίου gas
καιρός weather
μήνα month
εκατομμύρια million
φέρουν bear
φινίρισμα finish
ευτυχισμένος happy
ελπίζω hope
λουλούδι flower
ντύσει clothe
παράξενα strange
φύγει gone
εμπόριο trade
μελωδία melody
ταξίδι trip
γραφείο office
λαμβάνω receive
σειρά row
το στόμα mouth
ακριβής exact
σύμβολο symbol
πεθαίνω die
τουλάχιστον least
πρόβλημα trouble
κραυγή shout
εκτός except
έγραψε wrote
σπόρων seed
τόνος tone
ένωση join
προτείνουν suggest
καθαρό clean
διάλειμμα break
η κυρία lady
αυλή yard
αυξηθεί rise
κακό bad
χτύπημα blow
πετρελαίου oil
αίμα blood
αγγίζετε touch
μεγάλωσε grew
σεντ cent
αναμίξτε mix
Η ομάδα team
σύρμα wire
κόστος cost
χαμένος lost
καφέ brown
φθορά wear
κήπο garden
ίση equal
αποστέλλονται sent
επιλέξτε choose
έπεσε fell
ταιριάζει fit
ροή flow
δίκαιος fair
τράπεζα bank
συλλέγουν collect
αποθηκεύσετε save
ελέγχου control
δεκαδικό decimal
αυτί ear
άλλος else
αρκετά quite
έσπασε broke
περίπτωση case
μέση middle
σκοτώνουν kill
Ο γιος son
λίμνη lake
στιγμή moment
κλίμακα scale
δυνατά loud
άνοιξη spring
παρατηρώ observe
παιδί child
ευθεία straight
σύμφωνο consonant
έθνος nation
λεξικό dictionary
γάλα milk
ταχύτητα speed
μέθοδος method
οργάνου organ
πληρωμή pay
ηλικία age
τμήμα section
φόρεμα dress
cloud cloud
έκπληξη surprise
ήσυχο quiet
πέτρα stone
μικροσκοπικός tiny
ανάβαση climb
δροσερό cool
σχεδιασμός design
φτωχός poor
πολλά lot
πείραμα experiment
κάτω μέρος bottom
κλειδί key
σίδερο iron
ενιαίου single
ραβδί stick
επίπεδη flat
είκοσι twenty
δέρματος skin
χαμόγελο smile
πτυχή crease
τρύπα hole
άλμα jump
μωρό baby
οκτώ eight
χωριό village
πληρούν meet
ρίζα root
αγοράζουν buy
αύξηση raise
επιλύσει solve
μετάλλων metal
αν whether
ώθηση push
επτά seven
παράγραφο paragraph
τρίτο third
θα shall
χειρός held
μαλλιά hair
περιγράψει describe
μάγειρας cook
πάτωμα floor
είτε either
αποτέλεσμα result
έγκαυμα burn
λόφος hill
ασφαλής safe
γάτα cat
αιώνα century
σκεφτείτε consider
τύπος type
του νόμου law
λίγο bit
ακτή coast
αντίγραφο copy
φράση phrase
σιωπηλή silent
ψηλός tall
άμμου sand
χώμα soil
ρολό roll
θερμοκρασία temperature
δάχτυλο finger
βιομηχανία industry
αξία value
αγώνα fight
ψέμα lie
νικήσει beat
διεγείρει excite
φυσικές natural
θέα view
νόημα sense
κεφάλαιο capital
καρέκλα chair
κίνδυνο danger
φρούτα fruit
πλούσιος rich
παχύ thick
στρατιώτης soldier
διαδικασία process
λειτουργούν operate
πρακτική practice
ξεχωριστός separate
δύσκολο difficult
γιατρός doctor
παρακαλώ please
προστασία protect
το μεσημέρι noon
καλλιέργεια crop
σύγχρονος modern
στοιχείο element
χτύπημα hit
φοιτητής student
γωνία corner
κόμμα party
προμήθεια supply
των οποίων whose
εντοπίσετε locate
δαχτυλίδι ring
χαρακτήρας character
έντομο insect
αλιεύονται caught
περίοδο period
υποδεικνύουν indicate
ράδιο radio
μίλησε spoke
άτομο atom
ανθρώπινη human
ιστορία history
επίδραση effect
ηλεκτρικός electric
αναμένω expect
των οστών bone
σιδηροδρομικές rail
φανταστείτε imagine
παρέχουν provide
συμφωνώ agree
έτσι thus
ευγενής gentle
γυναίκα woman
καπετάνιος captain
υποθέτω guess
απαραίτητο necessary
αιχμηρός sharp
φτερό wing
δημιουργήσετε create
γείτονας neighbor
πλύση wash
ρόπαλο bat
μάλλον rather
πλήθος crowd
καλαμπόκι corn
συγκρίνετε compare
ποίημα poem
κορδόνι string
κουδούνι bell
εξαρτηθεί depend
κρέας meat
τρίψιμο rub
σωλήνα tube
διάσημος famous
δολάριο dollar
ρεύμα stream
φόβος fear
όραση sight
λεπτός thin
τρίγωνο triangle
πλανήτης planet
βιασύνη hurry
επικεφαλής chief
αποικία colony
ρολόι clock
ορυχείο mine
γραβάτα tie
εισάγετε enter
μεγάλες major
φρέσκο fresh
αναζήτηση search
στείλετε send
κίτρινο yellow
όπλο gun
επιτρέπουν allow
αποτύπωμα print
νεκρός dead
σημείο spot
έρημο desert
κοστούμι suit
ρεύμα current
ανελκυστήρα lift
τριαντάφυλλο rose
φτάσετε arrive
κύριος master
κομμάτι track
μητρική εταιρεία parent
ακτή shore
διαίρεση division
φύλλο sheet
ουσία substance
ευνοούν favor
συνδεθείτε connect
μετά post
ξοδεύουν spend
χορδή chord
λίπος fat
ευτυχής glad
πρωτότυπο original
μετοχή share
σταθμός station
μπαμπάς dad
ψωμί bread
χρεώνουν charge
κατάλληλος proper
μπαρ bar
προσφορά offer
τμήμα segment
δούλος slave
πάπια duck
στιγμιαία instant
αγορά market
βαθμό degree
συμπληρώσετε populate
κοτοπουλάκι chick
αγαπητός dear
εχθρός enemy
απάντηση reply
ποτό drink
συμβαίνουν occur
υποστήριξη support
ομιλία speech
φύση nature
εύρος range
ατμού steam
κίνηση motion
μονοπάτι path
υγρό liquid
συνδεθείτε log
σήμαινε meant
πηλίκο quotient
δόντια teeth
κέλυφος shell
λαιμό neck
οξυγόνο oxygen
ζάχαρη sugar
θάνατο death
αρκετά pretty
επιδεξιότητα skill
γυναίκες women
εποχή season
λύση solution
μαγνήτη magnet
ασήμι silver
ευχαριστώ thank
υποκατάστημα branch
αγώνα match
επίθημα suffix
ιδιαίτερα especially
σύκο fig
φοβισμένος afraid
τεράστια huge
αδελφή sister
χάλυβας steel
συζητήσουν discuss
προς τα εμπρός forward
παρόμοια similar
καθοδηγήσει guide
εμπειρία experience
σκορ score
μήλο apple
αγόρασε bought
οδήγησε led
γήπεδο pitch
παλτό coat
μάζα mass
κάρτα card
band band
σκοινί rope
ολίσθησης slip
Νίκη win
όνειρο dream
βράδυ evening
κατάσταση condition
ζωοτροφές feed
εργαλείο tool
σύνολο total
βασικός basic
μυρωδιά smell
κοιλάδα valley
ούτε nor
διπλό double
κάθισμα seat
συνεχίσει continue
κατηγορία block
διάγραμμα chart
καπέλο hat
πωλήσει sell
επιτυχία success
Η εταιρεία company
αφαιρέστε subtract
εκδήλωση event
ειδικότερα particular
συμφωνία deal
κολύμπι swim
όρος term
απέναντι opposite
γυναίκα wife
παπούτσι shoe
ώμο shoulder
διάδοση spread
κανονίσει arrange
στρατόπεδο camp
εφεύρουν invent
βαμβάκι cotton
γεννημένος born
καθοριστεί determine
λίτρο quart
εννέα nine
φορτηγό truck
θόρυβο noise
επίπεδο level
ευκαιρία chance
συγκεντρώσει gather
κατάστημα shop
τέντωμα stretch
ρίξει throw
λάμψη shine
ακίνητα property
στήλη column
μόριο molecule
επιλέξτε select
λάθος wrong
γκρί gray
επανάληψη repeat
απαιτούν require
ευρύς broad
προετοιμασία prepare
αλάτι salt
μύτη nose
πληθυντικός plural
οργή anger
αξίωση claim
ήπειρο continent
