sebagai as
karena since
atas top
seluruh whole
raja king
jalan street
inch inch
kalikan multiply
tidak ada nothing
tentu saja course
tinggal stay
roda wheel
penuh full
kekuatan force
biru blue
objek object
memutuskan decide
permukaan surface
dalam deep
bulan moon
pulau island
kaki foot
sistem system
sibuk busy
uji test
rekor record
perahu boat
umum common
emas gold
mungkin possible
pesawat plane
manfaat stead
kering dry
bertanya-tanya wonder
tertawa laugh
ribu thousand
lalu ago
ran ran
memeriksa check
permainan game
bentuk shape
menyamakan equate
hot hot
rindu miss
membawa brought
panas heat
salju snow
ban tire
membawa bring
ya yes
jauh distant
mengisi fill
timur east
cat paint
bahasa language
antara among
Unit unit
daya power
kota town
halus fine
tertentu certain
terbang fly
jatuh fall
memimpin lead
menangis cry
gelap dark
mesin machine
catatan note
menunggu wait
rencana plan
angka figure
bintang star
kotak box
nomina noun
lapangan field
sisanya rest
benar correct
mampu able
pound pound
dilakukan done
kecantikan beauty
berkendara drive
berdiri stood
berisi contain
depan front
mengajar teach
minggu week
akhir final
memberi gave
hijau green
oh oh
cepat quick
mengembangkan develop
ocean ocean
hangat warm
gratis free
menit minute
kuat strong
khusus special
pikiran mind
di belakang behind
jelas clear
ekor tail
menghasilkan produce
Bahkan fact
ruang space
mendengar heard
terbaik best
jam hour
lebih baik better
benar true
selama during
ratus hundred
lima five
ingat remember
langkah step
awal early
terus hold
barat west
tanah ground
bunga interest
mencapai reach
cepat fast
kata kerja verb
bernyanyi sing
mendengarkan listen
enam six
tabel table
wisata travel
kurang less
pagi morning
sepuluh ten
sederhana simple
beberapa several
vokal vowel
menuju toward
perang war
berbaring lay
terhadap against
pola pattern
lambat slow
pusat center
cinta love
orang person
uang money
melayani serve
muncul appear
jalan road
peta map
hujan rain
aturan rule
mengatur govern
menarik pull
dingin cold
pemberitahuan notice
suara voice
energi energy
berburu hunt
kemungkinan probable
tidur bed
saudara brother
telur egg
naik ride
sel cell
percaya believe
mungkin perhaps
memilih pick
tiba-tiba sudden
menghitung count
persegi square
alasan reason
panjang length
mewakili represent
seni art
Subjek subject
wilayah region
ukuran size
bervariasi vary
menyelesaikan settle
berbicara speak
berat weight
umum general
es ice
peduli matter
lingkaran circle
pasangan pair
termasuk include
membagi divide
suku kata syllable
merasa felt
agung grand
bola ball
belum yet
gelombang wave
menjatuhkan drop
jantung heart
am am
sekarang present
berat heavy
tari dance
mesin engine
posisi position
lengan arm
lebar wide
berlayar sail
materi material
fraksi fraction
hutan forest
duduk sit
ras race
window window
toko store
musim panas summer
kereta train
tidur sleep
membuktikan prove
lone lone
kaki leg
latihan exercise
wall wall
catch catch
gunung mount
ingin wish
langit sky
papan board
sukacita joy
musim dingin winter
duduk sat
ditulis written
liar wild
instrument instrument
terus kept
kaca glass
rumput grass
sapi cow
pekerjaan job
tepi edge
tanda sign
kunjungan visit
masa lalu past
lembut soft
menyenangkan fun
cerah bright
gas gas
cuaca weather
bulan month
juta million
menanggung bear
selesai finish
senang happy
berharap hope
bunga flower
menutupi clothe
aneh strange
pergi gone
perdagangan trade
melodi melody
perjalanan trip
kantor office
menerima receive
baris row
mulut mouth
tepat exact
simbol symbol
mati die
setidaknya least
masalah trouble
berteriak shout
kecuali except
menulis wrote
benih seed
nada tone
bergabung join
menyarankan suggest
bersih clean
istirahat break
wanita lady
yard yard
naik rise
buruk bad
pukulan blow
minyak oil
darah blood
sentuh touch
tumbuh grew
persen cent
mencampur mix
tim team
kawat wire
biaya cost
hilang lost
coklat brown
memakai wear
garden garden
sama equal
dikirim sent
pilih choose
jatuh fell
cocok fit
mengalir flow
adil fair
Bank bank
mengumpulkan collect
menyimpan save
kontrol control
desimal decimal
telinga ear
lain else
cukup quite
pecah broke
kasus case
tengah middle
membunuh kill
putra son
danau lake
saat moment
skala scale
keras loud
musim semi spring
mengamati observe
anak child
lurus straight
konsonan consonant
bangsa nation
kamus dictionary
susu milk
kecepatan speed
metode method
organ organ
membayar pay
usia age
bagian section
dress dress
awan cloud
kejutan surprise
tenang quiet
batu stone
kecil tiny
naik climb
dingin cool
desain design
miskin poor
banyak lot
percobaan experiment
bottom bottom
kunci key
besi iron
single single
tongkat stick
datar flat
dua puluh twenty
kulit skin
senyum smile
lipatan crease
lubang hole
melompat jump
bayi baby
delapan eight
desa village
bertemu meet
akar root
membeli buy
meningkatkan raise
memecahkan solve
logam metal
apakah whether
mendorong push
tujuh seven
ayat paragraph
ketiga third
wajib shall
diadakan held
rambut hair
menjelaskan describe
cook cook
lantai floor
baik either
hasil result
membakar burn
hill hill
aman safe
kucing cat
abad century
pertimbangkan consider
Jenis type
hukum law
bit bit
pantai coast
copy copy
frase phrase
diam silent
tinggi tall
pasir sand
tanah soil
gulungan roll
suhu temperature
jari finger
industri industry
nilai value
melawan fight
kebohongan lie
mengalahkan beat
menggairahkan excite
alam natural
Tampilan view
akal sense
modal capital
kursi chair
bahaya danger
buah fruit
kaya rich
tebal thick
tentara soldier
proses process
mengoperasikan operate
praktek practice
terpisah separate
sulit difficult
dokter doctor
silahkan please
melindungi protect
siang noon
tanaman crop
yang modern modern
elemen element
hit hit
mahasiswa student
sudut corner
partai party
pasokan supply
yang whose
mencari locate
cincin ring
karakter character
serangga insect
tertangkap caught
periode period
menunjukkan indicate
radio radio
berbicara spoke
atom atom
manusia human
sejarah history
efek effect
listrik electric
mengharapkan expect
tulang bone
rel rail
bayangkan imagine
menyediakan provide
setuju agree
demikian thus
lembut gentle
wanita woman
kapten captain
menebak guess
diperlukan necessary
tajam sharp
sayap wing
membuat create
tetangga neighbor
mencuci wash
kelelawar bat
agak rather
kerumunan crowd
jagung corn
membandingkan compare
puisi poem
String string
bell bell
tergantung depend
daging meat
menggosok rub
tube tube
terkenal famous
dolar dollar
aliran stream
takut fear
penglihatan sight
tipis thin
segitiga triangle
planet planet
terburu-buru hurry
kepala chief
koloni colony
jam clock
tambang mine
dasi tie
masukkan enter
utama major
segar fresh
pencarian search
mengirim send
kuning yellow
pistol gun
memungkinkan allow
mencetak print
mati dead
tempat spot
gurun desert
setelan suit
saat ini current
angkat lift
naik rose
tiba arrive
Master master
jalur track
induk parent
shore shore
divisi division
sheet sheet
substansi substance
mendukung favor
menghubungkan connect
posting post
menghabiskan spend
chord chord
lemak fat
senang glad
asli original
share share
stasiun station
ayah dad
roti bread
biaya charge
tepat proper
bar bar
Penawaran offer
ruas segment
budak slave
bebek duck
instant instant
pasar market
gelar degree
mengisi populate
cewek chick
sayang dear
musuh enemy
membalas reply
minuman drink
terjadi occur
mendukung support
pidato speech
alam nature
Kisaran range
steam steam
gerak motion
path path
cair liquid
login log
berarti meant
quotient quotient
gigi teeth
shell shell
leher neck
oksigen oxygen
gula sugar
kematian death
cukup pretty
keterampilan skill
wanita women
musim season
larutan solution
magnet magnet
perak silver
terima thank
cabang branch
pertandingan match
akhiran suffix
terutama especially
ara fig
takut afraid
besar huge
adik sister
baja steel
mendiskusikan discuss
maju forward
serupa similar
panduan guide
pengalaman experience
Rata score
apple apple
membeli bought
dipimpin led
nada pitch
mantel coat
massa mass
kartu card
pita band
tali rope
Slip slip
menang win
mimpi dream
malam evening
kondisi condition
pakan feed
alat tool
total total
dasar basic
bau smell
lembah valley
atau nor
ganda double
kursi seat
terus continue
blok block
grafik chart
hat hat
menjual sell
keberhasilan success
perusahaan company
kurangi subtract
peristiwa event
tertentu particular
kesepakatan deal
berenang swim
istilah term
sebaliknya opposite
istri wife
sepatu shoe
bahu shoulder
penyebaran spread
mengatur arrange
camp camp
menciptakan invent
kapas cotton
Lahir born
menentukan determine
liter quart
sembilan nine
truk truck
noise noise
tingkat level
kesempatan chance
mengumpulkan gather
shop shop
stretch stretch
membuang throw
bersinar shine
properti property
kolom column
molekul molecule
pilih select
salah wrong
abu-abu gray
ulangi repeat
membutuhkan require
luas broad
mempersiapkan prepare
garam salt
hidung nose
plural plural
kemarahan anger
klaim claim
benua continent
