ように as
キャッチ catch
マウント mount
希望 wish
空 sky
ボード board
喜び joy
冬 winter
土 sat
書かれた written
ワイルド wild
楽器 instrument
保管 kept
ガラス glass
草 grass
乳牛 cow
仕事 job
エッジ edge
看板 sign
訪問 visit
過去 past
ソフト soft
楽しい fun
明るい bright
ガス gas
天候 weather
月 month
万 million
クマ bear
仕上げ finish
幸せな happy
希望 hope
花 flower
衣服を着せる clothe
奇妙な strange
いなくなった gone
トレード trade
メロディー melody
旅 trip
オフィス office
受け取る receive
行 row
口 mouth
正確な exact
シンボル symbol
死ぬ die
最低 least
トラブル trouble
シャウト shout
ただし except
書いた wrote
シード seed
トーン tone
参加する join
提案する suggest
クリーン clean
ブレーク break
女性 lady
庭 yard
上昇 rise
悪い bad
打撃 blow
オイル oil
血 blood
触れる touch
成長した grew
セント cent
ミックス mix
チーム team
ワイヤー wire
コスト cost
失われた lost
ブラウン brown
着用 wear
庭 garden
等しい equal
送信された sent
選ぶ choose
落ちた fell
フィット fit
流れ flow
フェア fair
銀行 bank
集める collect
保存 save
コントロール control
進 decimal
耳 ear
ほかに else
かなり quite
壊した broke
ケース case
ミドル middle
殺す kill
息子 son
湖 lake
瞬間 moment
スケール scale
騒々しい loud
春 spring
観察する observe
子ども child
ストレート straight
子音 consonant
国家 nation
辞書 dictionary
ミルク milk
スピード speed
方法 method
オルガン organ
支払い pay
年齢 age
セクション section
ドレス dress
クラウド cloud
驚き surprise
静かな quiet
石 stone
小さな tiny
登る climb
涼しい cool
デザイン design
貧しい poor
たくさん lot
実験 experiment
ボトム bottom
キー key
鉄 iron
シングル single
スティック stick
フラット flat
個の twenty
スキン skin
笑顔 smile
しわ crease
穴 hole
ジャンプ jump
赤ちゃん baby
人 eight
村 village
大会 meet
ルート root
買う buy
上げる raise
解く solve
金属 metal
かどうか whether
プッシュ push
7 seven
パラグラフ paragraph
第3 third
しなければならない shall
ハンドヘルド held
髪 hair
説明する describe
料理人 cook
床 floor
どちら either
結果 result
燃やす burn
丘 hill
金庫 safe
猫 cat
世紀 century
考える consider
タイプ type
法則 law
ビット bit
海岸 coast
コピー copy
フレーズ phrase
サイレント silent
背の高い tall
砂 sand
土壌 soil
ロール roll
温度 temperature
指 finger
業界 industry
値 value
戦い fight
うそ lie
ビート beat
エキサイト excite
ナチュラル natural
ビュー view
感覚 sense
首都 capital
椅子 chair
危険 danger
フルーツ fruit
金持ち rich
厚い thick
兵士 soldier
プロセス process
操作する operate
練習 practice
別 separate
難しい difficult
医師 doctor
どうぞ please
守る protect
正午 noon
作物 crop
モダン modern
要素 element
ヒット hit
学生 student
コーナー corner
パーティー party
サプライ supply
その whose
検索する locate
リング ring
キャラクター character
昆虫 insect
キャッチ caught
期間 period
示す indicate
ラジオ radio
スポーク spoke
アトム atom
人間 human
歴史 history
効果 effect
エレクトリック electric
期待する expect
骨 bone
レール rail
想像する imagine
提供する provide
同意する agree
このようにして thus
優しい gentle
女 woman
キャプテン captain
推測 guess
必要 necessary
シャープ sharp
ウイング wing
作る create
隣人 neighbor
ウォッシュ wash
バット bat
むしろ rather
群衆 crowd
トウモロコシ corn
比較する compare
詩 poem
文字列 string
鐘 bell
決まる depend
肉 meat
こする rub
チューブ tube
有名な famous
ドル dollar
ストリーム stream
恐怖 fear
視力 sight
薄い thin
三角形 triangle
惑星 planet
急ぐ hurry
チーフ chief
コロニー colony
クロック clock
地雷 mine
ネクタイ tie
入力する enter
主要な major
新鮮な fresh
検索 search
送信 send
黄色 yellow
銃 gun
許可する allow
印刷 print
死んだ dead
スポット spot
砂漠 desert
スーツ suit
現在の current
リフト lift
ローズ rose
届く arrive
マスター master
トラック track
親 parent
海岸 shore
分裂 division
シート sheet
物質 substance
好む favor
接続する connect
ポスト post
過ごす spend
和音 chord
脂肪 fat
うれしい glad
オリジナル original
シェア share
駅 station
お父さん dad
パン bread
充電 charge
適切な proper
バー bar
申し出 offer
セグメント segment
スレーブ slave
アヒル duck
インスタント instant
市場 market
度 degree
投入する populate
ひよこ chick
かわいい dear
敵 enemy
返事 reply
ドリンク drink
起こる occur
サポート support
スピーチ speech
自然 nature
レンジ range
スチーム steam
モーション motion
パス path
液体 liquid
ログ log
意味 meant
商 quotient
歯牙 teeth
シェル shell
首 neck
酸素 oxygen
砂糖 sugar
死 death
かわいい pretty
スキル skill
女性たち women
シーズン season
ソリューション solution
マグネット magnet
銀 silver
感謝 thank
ブランチ branch
マッチ match
サフィックス suffix
特に especially
イチジク fig
恐れて afraid
巨大な huge
姉妹 sister
スチール steel
話し合う discuss
フォワード forward
同じような similar
ガイド guide
経験 experience
スコア score
リンゴ apple
買った bought
主導 led
ピッチ pitch
コート coat
マス mass
カード card
バンド band
ロープ rope
スリップ slip
勝つ win
夢 dream
夕べ evening
条件 condition
フィード feed
ツール tool
合計 total
基本 basic
匂い smell
谷 valley
も nor
ダブル double
座席 seat
続ける continue
ブロック block
チャート chart
帽子 hat
売る sell
成功 success
会社 company
引く subtract
イベント event
特定の particular
契約 deal
泳ぐ swim
言葉 term
反対 opposite
妻 wife
靴 shoe
肩 shoulder
スプレッド spread
アレンジ arrange
キャンプ camp
発明する invent
綿 cotton
ボルン born
決定する determine
クォート quart
人 nine
トラック truck
ノイズ noise
レベル level
チャンス chance
集まる gather
ショップ shop
ストレッチ stretch
投げる throw
輝き shine
財産 property
コラム column
分子 molecule
選択する select
間違った wrong
グレー gray
リピート repeat
必要とする require
幅広い broad
準備する prepare
塩 salt
鼻 nose
複数 plural
怒り anger
請求 claim
大陸 continent
